Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
SP1,2005-12-11,Málaga,Real Madrid,0,2,A,0,2,A,22,17,8,7,37,11,7,3,5,1,0,0,4.5,3.25,1.83
SP1,2005-12-11,Osasuna,Mallorca,1,0,H,1,0,H,20,9,6,3,20,15,6,4,2,2,0,0,1.57,3.6,6.0
SP1,2005-12-11,Real Zaragoza,Celta,1,0,H,0,0,D,23,4,9,4,19,13,12,2,1,3,0,0,2.37,3.25,2.87
SP1,2005-12-17,Athletic,Real Betis,2,0,H,2,0,H,12,9,2,3,20,23,4,2,1,1,0,1,2.2,3.0,3.5
SP1,2005-12-17,Cádiz,Barcelona,1,3,A,0,2,A,12,19,1,9,13,17,4,8,2,1,0,0,9.0,4.33,1.36
SP1,2005-12-17,Celta,RC Deportivo,0,3,A,0,3,A,6,7,1,5,16,23,7,2,3,3,1,0,2.37,3.0,3.1
SP1,2005-12-18,Alavés,Valencia,0,1,A,0,1,A,12,14,3,3,18,19,7,5,5,2,0,0,4.2,3.2,1.9
SP1,2005-12-18,Espanyol,Real Zaragoza,2,2,D,0,0,D,13,15,4,6,27,14,4,3,4,2,0,0,2.2,3.2,3.25
SP1,2005-12-18,Mallorca,Atlético,2,2,D,1,2,A,8,11,4,4,19,17,7,4,4,5,1,1,2.5,3.1,2.8
SP1,2005-12-18,Real Madrid,Osasuna,1,1,D,0,0,D,15,10,6,1,23,21,7,3,6,5,0,1,1.5,3.75,7.0
SP1,2005-12-18,Racing,Málaga,1,1,D,1,1,D,16,10,5,5,20,21,8,5,3,6,3,2,2.25,3.1,3.2
SP1,2005-12-18,Sevilla,R. Sociedad,3,2,H,0,1,A,29,9,8,2,20,17,6,2,4,6,0,2,1.72,3.4,5.0
SP1,2005-12-18,Villarreal,Getafe,2,1,H,1,1,D,18,13,9,5,16,23,6,4,2,2,0,0,1.57,3.5,6.5
SP1,2005-12-20,Barcelona,Celta,2,0,H,1,0,H,15,4,7,2,15,26,6,1,1,3,0,0,1.22,5.5,13.0
SP1,2005-12-21,Real Betis,Alavés,3,0,H,1,0,H,15,12,8,3,27,21,3,1,2,3,0,0,1.83,3.3,4.33
SP1,2005-12-21,Getafe,Sevilla,1,0,H,1,0,H,17,11,3,4,24,20,3,6,3,2,1,0,2.5,3.25,2.7
SP1,2005-12-21,RC Deportivo,Espanyol,1,2,A,0,0,D,14,9,6,3,20,16,12,2,3,4,0,1,1.57,3.6,6.0
SP1,2005-12-21,Málaga,Villarreal,0,0,D,0,0,D,8,12,4,6,30,16,3,2,5,2,0,0,3.1,3.2,2.25
SP1,2005-12-21,Real Madrid,Racing,1,2,A,0,2,A,19,9,5,4,20,10,6,4,3,3,0,0,1.25,5.0,13.0
SP1,2005-12-21,R. Sociedad,Cádiz,2,0,H,1,0,H,20,8,6,5,19,24,9,4,1,3,0,1,1.83,3.3,4.33
SP1,2005-12-21,Valencia,Mallorca,3,0,H,0,0,D,17,6,6,0,12,16,9,4,0,1,0,0,1.44,4.0,7.5
SP1,2005-12-21,Real Zaragoza,Athletic,3,2,H,0,1,A,12,8,4,4,14,18,3,2,2,1,0,0,2.0,3.2,3.75
SP1,2005-12-22,Osasuna,Atlético,2,1,H,2,1,H,24,5,8,1,18,16,5,1,1,2,0,0,1.9,3.25,4.0
SP1,2006-01-07,Athletic,RC Deportivo,1,2,A,0,1,A,18,13,5,3,21,25,6,2,1,5,0,0,2.6,3.2,2.62
SP1,2006-01-07,Espanyol,Barcelona,1,2,A,0,1,A,9,19,3,7,29,20,5,6,6,3,0,0,7.5,4.0,1.44
SP1,2006-01-08,Alavés,Real Zaragoza,0,2,A,0,0,D,15,15,5,4,14,14,5,0,0,3,0,0,2.6,3.2,2.62
SP1,2006-01-08,Atlético,Valencia,0,0,D,0,0,D,14,9,2,5,27,21,5,10,2,0,0,0,3.0,3.2,2.3
SP1,2006-01-08,Cádiz,Getafe,1,0,H,1,0,H,13,8,6,1,22,21,2,2,4,5,1,1,2.37,3.2,2.9
