"name","position","age","nationality","market_value","profile_url","team"
"Albert Crusat","Albert Crusat Extremo izquierdo","Extremo izquierdo","España","4,00 mill. €","https://www.transfermarkt.es/albert-crusat/profil/spieler/51536","Almería"
"Miguel Ángel Nieto","Miguel Ángel Nieto Extremo izquierdo","Extremo izquierdo","España","500 mil €","https://www.transfermarkt.es/miguel-angel-nieto/profil/spieler/45615","Almería"
"José Ortiz","José Ortiz Extremo derecho","Extremo derecho","España","2,60 mill. €","https://www.transfermarkt.es/jose-ortiz/profil/spieler/51527","Almería"
"Álvaro Negredo","Álvaro Negredo Delantero centro","Delantero centro","España","12,00 mill. €","https://www.transfermarkt.es/alvaro-negredo/profil/spieler/18644","Almería"
"Kalu Uche","Kalu Uche Delantero centro","Delantero centro","Nigeria","4,00 mill. €","https://www.transfermarkt.es/kalu-uche/profil/spieler/6585","Almería"
"Esteban Solari","Esteban Solari Delantero centro","Delantero centro","Argentina","3,40 mill. €","https://www.transfermarkt.es/esteban-solari/profil/spieler/20905","Almería"
"Natalio","Natalio Delantero centro","Delantero centro","España","1,00 mill. €","https://www.transfermarkt.es/natalio/profil/spieler/51408","Almería"
"Juan Pablo Colinas","Juan Pablo Colinas Portero","Portero","España","1,60 mill. €","https://www.transfermarkt.es/juan-pablo-colinas/profil/spieler/27685","Numancia"
"Marian Kelemen","Marian Kelemen Portero","Portero","Eslovaquia","800 mil €","https://www.transfermarkt.es/marian-kelemen/profil/spieler/6114","Numancia"
"Diego de Miguel","Diego de Miguel Portero","Portero","España","200 mil €","https://www.transfermarkt.es/diego-de-miguel/profil/spieler/51579","Numancia"
"Jesús Fernández","Jesús Fernández Portero","Portero","España","-","https://www.transfermarkt.es/jesus-fernandez/profil/spieler/91885","Numancia"
"Raúl Bravo","Raúl Bravo Defensa central","Defensa central","España","3,00 mill. €","https://www.transfermarkt.es/raul-bravo/profil/spieler/3771","Numancia"
"Sergio Boris","Sergio Boris Defensa central","Defensa central","España","2,60 mill. €","https://www.transfermarkt.es/sergio-boris/profil/spieler/7469","Numancia"
"Lolo Pavón","Lolo Pavón Defensa central","Defensa central","España","1,40 mill. €","https://www.transfermarkt.es/lolo-pavon/profil/spieler/51582","Numancia"
"Sergio Ortega","Sergio Ortega Defensa central","Defensa central","España","800 mil €","https://www.transfermarkt.es/sergio-ortega/profil/spieler/51581","Numancia"
"Egoitz Jaio","Egoitz Jaio Defensa central","Defensa central","España","300 mil €","https://www.transfermarkt.es/egoitz-jaio/profil/spieler/51573","Numancia"
"Nandi","Nandi Defensa central","Defensa central","España","-","https://www.transfermarkt.es/nandi/profil/spieler/76395","Numancia"
"Carlos Bellvís","Carlos Bellvís Lateral izquierdo","Lateral izquierdo","España","2,00 mill. €","https://www.transfermarkt.es/carlos-bellvis/profil/spieler/51550","Numancia"
"Domingo Cisma","Domingo Cisma Lateral izquierdo","Lateral izquierdo","España","1,00 mill. €","https://www.transfermarkt.es/domingo-cisma/profil/spieler/51535","Numancia"
"Juanra","Juanra Lateral derecho","Lateral derecho","España","2,00 mill. €","https://www.transfermarkt.es/juanra/profil/spieler/51560","Numancia"
"Felipe Guréndez","Felipe Guréndez Lateral derecho","Lateral derecho","España","200 mil €","https://www.transfermarkt.es/felipe-gurendez/profil/spieler/7618","Numancia"
"Alberto Montejo","Alberto Montejo Centrocampista","Centrocampista","España","-","https://www.transfermarkt.es/alberto-montejo/profil/spieler/72250","Numancia"
"Jarque","Jarque Centrocampista","Centrocampista","España","-","https://www.transfermarkt.es/jarque/profil/spieler/91886","Numancia"
"Txomin Nagore","Txomin Nagore Mediocentro","Mediocentro","España","1,60 mill. €","https://www.transfermarkt.es/txomin-nagore/profil/spieler/7764","Numancia"
"César Palacios","César Palacios Mediocentro","Mediocentro","España","1,60 mill. €","https://www.transfermarkt.es/cesar-palacios/profil/spieler/7738","Numancia"
"Dimas Delgado","Dimas Delgado Mediocentro","Mediocentro","España","600 mil €","https://www.transfermarkt.es/dimas-delgado/profil/spieler/53363","Numancia"
"Juan Carlos Moreno","Juan Carlos Moreno Interior izquierdo","Interior izquierdo","España","1,20 mill. €","https://www.transfermarkt.es/juan-carlos-moreno/profil/spieler/51575","Numancia"
"José Javier Barkero","José Javier Barkero Mediocentro ofensivo","Mediocentro ofensivo","España","3,00 mill. €","https://www.transfermarkt.es/jose-javier-barkero/profil/spieler/7468","Numancia"
"Mario Martínez","Mario Martínez Mediocentro ofensivo","Mediocentro ofensivo","España","2,00 mill. €","https://www.transfermarkt.es/mario-martinez/profil/spieler/51574","Numancia"
"Javier Del Pino","Javier Del Pino Mediocentro ofensivo","Mediocentro ofensivo","España","2,00 mill. €","https://www.transfermarkt.es/javier-del-pino/profil/spieler/29171","Numancia"
"Álvaro Antón","Álvaro Antón Mediocentro ofensivo","Mediocentro ofensivo","España","1,40 mill. €","https://www.transfermarkt.es/alvaro-anton/profil/spieler/29086","Numancia"
"Juan Quero","Juan Quero Extremo izquierdo","Extremo izquierdo","España","1,60 mill. €","https://www.transfermarkt.es/juan-quero/profil/spieler/51476","Numancia"
"Lago Júnior","Lago Júnior Extremo izquierdo","Extremo izquierdo","Costa de Marfil","200 mil €","https://www.transfermarkt.es/lago-junior/profil/spieler/100722","Numancia"
"Antonio Guayre","Antonio Guayre Extremo derecho","Extremo derecho","España","1,00 mill. €","https://www.transfermarkt.es/antonio-guayre/profil/spieler/7843","Numancia"
"Gorka Brit","Gorka Brit Delantero centro","Delantero centro","España","2,60 mill. €","https://www.transfermarkt.es/gorka-brit/profil/spieler/29167","Numancia"
"Asier Goiria","Asier Goiria Delantero centro","Delantero centro","España","1,60 mill. €","https://www.transfermarkt.es/asier-goiria/profil/spieler/61034","Numancia"
"Carlos Aranda","Carlos Aranda Delantero centro","Delantero centro","España","1,00 mill. €","https://www.transfermarkt.es/carlos-aranda/profil/spieler/7841","Numancia"
"Toché","Toché Delantero centro","Delantero centro","España","800 mil €","https://www.transfermarkt.es/toche/profil/spieler/22586","Numancia"
"Roberto Platero","Roberto Platero Delantero centro","Delantero centro","España","-","https://www.transfermarkt.es/roberto-platero/profil/spieler/79130","Numancia"
"Francesc Arnau","Francesc Arnau Portero","Portero","España","2,50 mill. €","https://www.transfermarkt.es/francesc-arnau/profil/spieler/7770","Málaga"
"Iñaki Goitia","Iñaki Goitia Portero","Portero","España","250 mil €","https://www.transfermarkt.es/inaki-goitia/profil/spieler/29050","Málaga"
"Manolo Reina","Manolo Reina Portero","Portero","España","-","https://www.transfermarkt.es/manolo-reina/profil/spieler/29051","Málaga"
"Litos","Litos Defensa central","Defensa central","Portugal","1,50 mill. €","https://www.transfermarkt.es/litos/profil/spieler/7777","Málaga"
"Fernando Sanz","Fernando Sanz Defensa central","Defensa central","España","900 mil €","https://www.transfermarkt.es/fernando-sanz/profil/spieler/7774","Málaga"
"César Navas","César Navas Defensa central","Defensa central","España","800 mil €","https://www.transfermarkt.es/cesar-navas/profil/spieler/29056","Málaga"
"Alexis Ruano","Alexis Ruano Defensa central","Defensa central","España","300 mil €","https://www.transfermarkt.es/alexis-ruano/profil/spieler/7781","Málaga"
"Marc Torrejón","Marc Torrejón Defensa central","Defensa central","España","100 mil €","https://www.transfermarkt.es/marc-torrejon/profil/spieler/38266","Málaga"
"Jorge Ribeiro","Jorge Ribeiro Lateral izquierdo","Lateral izquierdo","Portugal","2,50 mill. €","https://www.transfermarkt.es/jorge-ribeiro/profil/spieler/17286","Málaga"
"Nacho","Nacho Lateral izquierdo","Lateral izquierdo","España","750 mil €","https://www.transfermarkt.es/nacho/profil/spieler/23287","Málaga"
"Vicente Valcarce","Vicente Valcarce Lateral izquierdo","Lateral izquierdo","España","600 mil €","https://www.transfermarkt.es/vicente-valcarce/profil/spieler/7780","Málaga"
"Gabriel","Gabriel Lateral derecho","Lateral derecho","Brasil","1,75 mill. €","https://www.transfermarkt.es/gabriel/profil/spieler/13822","Málaga"
"Gerardo García","Gerardo García Lateral derecho","Lateral derecho","España","600 mil €","https://www.transfermarkt.es/gerardo-garcia/profil/spieler/7783","Málaga"
"Jesús Gámez","Jesús Gámez Lateral derecho","Lateral derecho","España","300 mil €","https://www.transfermarkt.es/jesus-gamez/profil/spieler/29055","Málaga"
"Ricardo Bóvio","Ricardo Bóvio Pivote","Pivote","Brasil","1,75 mill. €","https://www.transfermarkt.es/ricardo-bovio/profil/spieler/20065","Málaga"
"Anderson Silva","Anderson Silva Pivote","Pivote","Brasil","500 mil €","https://www.transfermarkt.es/anderson-silva/profil/spieler/16122","Málaga"
"Juan Rodríguez","Juan Rodríguez Pivote","Pivote","España","300 mil €","https://www.transfermarkt.es/juan-rodriguez/profil/spieler/15983","Málaga"
"Antonio Hidalgo","Antonio Hidalgo Mediocentro","Mediocentro","España","1,25 mill. €","https://www.transfermarkt.es/antonio-hidalgo/profil/spieler/27673","Málaga"
"Fernando Usero","Fernando Usero Mediocentro","Mediocentro","España","100 mil €","https://www.transfermarkt.es/fernando-usero/profil/spieler/29073","Málaga"
"Marcelo Romero","Marcelo Romero Mediocentro","Mediocentro","Uruguay","-","https://www.transfermarkt.es/marcelo-romero/profil/spieler/71363","Málaga"
"Abel Gómez","Abel Gómez Mediocentro","Mediocentro","España","-","https://www.transfermarkt.es/abel-gomez/profil/spieler/29065","Málaga"
"Manu Sánchez","Manu Sánchez Interior derecho","Interior derecho","España","700 mil €","https://www.transfermarkt.es/manu-sanchez/profil/spieler/7785","Málaga"
"Duda","Duda Interior izquierdo","Interior izquierdo","Portugal","2,00 mill. €","https://www.transfermarkt.es/duda/profil/spieler/7782","Málaga"
"Antonio López","Antonio López Interior izquierdo","Interior izquierdo","España","-","https://www.transfermarkt.es/antonio-lopez/profil/spieler/51402","Málaga"
"Jorge Pina","Jorge Pina Mediocentro ofensivo","Mediocentro ofensivo","España","75 mil €","https://www.transfermarkt.es/jorge-pina/profil/spieler/37325","Málaga"
"Saúl","Saúl Mediocentro ofensivo","Mediocentro ofensivo","España","-","https://www.transfermarkt.es/saul/profil/spieler/56130","Málaga"
"Diego Castro","Diego Castro Extremo izquierdo","Extremo izquierdo","España","-","https://www.transfermarkt.es/diego-castro/profil/spieler/57791","Málaga"
"Edgar","Edgar Extremo derecho","Extremo derecho","Portugal","1,00 mill. €","https://www.transfermarkt.es/edgar/profil/spieler/3621","Málaga"
"Salva Ballesta","Salva Ballesta Delantero centro","Delantero centro","España","6,00 mill. €","https://www.transfermarkt.es/salva-ballesta/profil/spieler/3693","Málaga"
"Richard Morales","Richard Morales Delantero centro","Delantero centro","Uruguay","750 mil €","https://www.transfermarkt.es/richard-morales/profil/spieler/16588","Málaga"
"Pablo Couñago","Pablo Couñago Delantero centro","Delantero centro","España","750 mil €","https://www.transfermarkt.es/pablo-counago/profil/spieler/13242","Málaga"
"Paco Esteban","Paco Esteban Delantero centro","Delantero centro","España","-","https://www.transfermarkt.es/paco-esteban/profil/spieler/51468","Málaga"
"Ador","Ador Delantero centro","Delantero centro","España","-","https://www.transfermarkt.es/ador/profil/spieler/29067","Málaga"
"Iván Cuéllar","Iván Cuéllar Portero","Portero","España","1,40 mill. €","https://www.transfermarkt.es/ivan-cuellar/profil/spieler/27493","Real Sporting"
"Iñaki Lafuente","Iñaki Lafuente Portero","Portero","España","900 mil €","https://www.transfermarkt.es/inaki-lafuente/profil/spieler/7614","Real Sporting"
"Sergio Sánchez","Sergio Sánchez Portero","Portero","España","300 mil €","https://www.transfermarkt.es/sergio-sanchez/profil/spieler/35798","Real Sporting"
"Sergio Sánchez","Sergio Sánchez Portero","Portero","España","100 mil €","https://www.transfermarkt.es/sergio-sanchez/profil/spieler/57846","Real Sporting"
"Gerard Autet","Gerard Autet Defensa central","Defensa central","España","1,40 mill. €","https://www.transfermarkt.es/gerard-autet/profil/spieler/29148","Real Sporting"
"Iván Hernández","Iván Hernández Defensa central","Defensa central","España","1,20 mill. €","https://www.transfermarkt.es/ivan-hernandez/profil/spieler/29066","Real Sporting"
"Jorge García","Jorge García Defensa central","Defensa central","España","1,00 mill. €","https://www.transfermarkt.es/jorge-garcia/profil/spieler/57804","Real Sporting"
"Jürgen Colin","Jürgen Colin Defensa central","Defensa central","Países Bajos","600 mil €","https://www.transfermarkt.es/jurgen-colin/profil/spieler/4441","Real Sporting"
"Omar Hernández","Omar Hernández Defensa central","Defensa central","España","100 mil €","https://www.transfermarkt.es/omar-hernandez/profil/spieler/87468","Real Sporting"
"Roberto Canella","Roberto Canella Lateral izquierdo","Lateral izquierdo","España","3,00 mill. €","https://www.transfermarkt.es/roberto-canella/profil/spieler/57785","Real Sporting"
"Cote","Cote Lateral izquierdo","Lateral izquierdo","España","600 mil €","https://www.transfermarkt.es/cote/profil/spieler/87469","Real Sporting"
"Neru","Neru Lateral izquierdo","Lateral izquierdo","España","100 mil €","https://www.transfermarkt.es/neru/profil/spieler/7855","Real Sporting"
"Rafael Sastre","Rafael Sastre Lateral derecho","Lateral derecho","España","1,00 mill. €","https://www.transfermarkt.es/rafael-sastre/profil/spieler/57841","Real Sporting"
"Raúl Cámara","Raúl Cámara Lateral derecho","Lateral derecho","España","600 mil €","https://www.transfermarkt.es/raul-camara/profil/spieler/57795","Real Sporting"
"Sergio Matabuena","Sergio Matabuena Pivote","Pivote","España","1,40 mill. €","https://www.transfermarkt.es/sergio-matabuena/profil/spieler/7863","Real Sporting"
"Pablo de Lucas","Pablo de Lucas Pivote","Pivote","España","600 mil €","https://www.transfermarkt.es/pablo-de-lucas/profil/spieler/57851","Real Sporting"
"Diego Camacho","Diego Camacho Pivote","Pivote","España","600 mil €","https://www.transfermarkt.es/diego-camacho/profil/spieler/23181","Real Sporting"
"Pedro","Pedro Mediocentro","Mediocentro","España","1,60 mill. €","https://www.transfermarkt.es/pedro/profil/spieler/57840","Real Sporting"
"Míchel Madera","Míchel Madera Mediocentro","Mediocentro","España","1,60 mill. €","https://www.transfermarkt.es/michel-madera/profil/spieler/57818","Real Sporting"
"Andreu Guerao","Andreu Guerao Mediocentro","Mediocentro","España","400 mil €","https://www.transfermarkt.es/andreu-guerao/profil/spieler/57805","Real Sporting"
"Alberto Lora","Alberto Lora Mediocentro","Mediocentro","España","300 mil €","https://www.transfermarkt.es/alberto-lora/profil/spieler/57816","Real Sporting"
"Carmelo","Carmelo Mediocentro ofensivo","Mediocentro ofensivo","España","3,00 mill. €","https://www.transfermarkt.es/carmelo/profil/spieler/44038","Real Sporting"
"Kike Mateo","Kike Mateo Mediocentro ofensivo","Mediocentro ofensivo","España","2,00 mill. €","https://www.transfermarkt.es/kike-mateo/profil/spieler/57821","Real Sporting"
"Francisco Maldonado","Francisco Maldonado Mediocentro ofensivo","Mediocentro ofensivo","España","900 mil €","https://www.transfermarkt.es/francisco-maldonado/profil/spieler/15725","Real Sporting"
"Diego Castro","Diego Castro Extremo izquierdo","Extremo izquierdo","España","3,00 mill. €","https://www.transfermarkt.es/diego-castro/profil/spieler/57791","Real Sporting"
"Omar Sampedro","Omar Sampedro Extremo derecho","Extremo derecho","España","800 mil €","https://www.transfermarkt.es/omar-sampedro/profil/spieler/57839","Real Sporting"
"Mate Bilic","Mate Bilic Delantero centro","Delantero centro","Croacia","3,00 mill. €","https://www.transfermarkt.es/mate-bilic/profil/spieler/7977","Real Sporting"
"David Barral","David Barral Delantero centro","Delantero centro","España","3,00 mill. €","https://www.transfermarkt.es/david-barral/profil/spieler/20346","Real Sporting"
"Luis Morán","Luis Morán Delantero centro","Delantero centro","España","1,60 mill. €","https://www.transfermarkt.es/luis-moran/profil/spieler/57826","Real Sporting"
"Sergio Prendes","Sergio Prendes Delantero centro","Delantero centro","España","100 mil €","https://www.transfermarkt.es/sergio-prendes/profil/spieler/57801","Real Sporting"
"Carlos Álvarez","Carlos Álvarez Delantero centro","Delantero centro","España","100 mil €","https://www.transfermarkt.es/carlos-alvarez/profil/spieler/57774","Real Sporting"
