"name","market_value","team"
"Albert Luque","2,00 mill. €","Málaga"
"Juanmi","-","Málaga"
"Valdo","1,20 mill. €","Málaga"
"Javi López","600 mil €","Málaga"
"Pedrito","-","Málaga"
"Victor Obinna","4,00 mill. €","Málaga"
"Fernando Forestieri","1,60 mill. €","Málaga"
"Felipe Caicedo","4,00 mill. €","Málaga"
"Nabil Baha","3,00 mill. €","Málaga"
"Edinho","2,00 mill. €","Málaga"
"Óscar García","-","Málaga"
"Juanfri","-","Málaga"
"Juan Pablo Colinas","2,80 mill. €","Real Sporting"
"Iván Cuéllar","2,00 mill. €","Real Sporting"
"Sergio Sánchez","-","Real Sporting"
"Raúl Domínguez","-","Real Sporting"
"Grégory Arnolin","3,60 mill. €","Real Sporting"
"Alberto Botía","3,00 mill. €","Real Sporting"
"Iván Hernández","1,00 mill. €","Real Sporting"
"Gerard Autet","800 mil €","Real Sporting"
"Alain Álvarez","-","Real Sporting"
"Pedro Orfila","-","Real Sporting"
"Roberto Canella","4,00 mill. €","Real Sporting"
"Cote","2,20 mill. €","Real Sporting"
"Rafael Sastre","500 mil €","Real Sporting"
"Milan Smiljanic","1,40 mill. €","Real Sporting"
"Sergio Matabuena","1,00 mill. €","Real Sporting"
"Diego Camacho","800 mil €","Real Sporting"
"Sergio Álvarez","-","Real Sporting"
"Míchel Madera","3,00 mill. €","Real Sporting"
"Alberto Lora","2,60 mill. €","Real Sporting"
"Alberto Rivera","2,00 mill. €","Real Sporting"
"Pedro","800 mil €","Real Sporting"
"Andreu Guerao","300 mil €","Real Sporting"
"Cristian Portilla","300 mil €","Real Sporting"
"Marcos Landeira","100 mil €","Real Sporting"
"Guille Pérez","-","Real Sporting"
"Carmelo","2,40 mill. €","Real Sporting"
"Kike Mateo","1,20 mill. €","Real Sporting"
"Francisco Maldonado","800 mil €","Real Sporting"
"Juan Muñiz","-","Real Sporting"
"Diego Castro","6,00 mill. €","Real Sporting"
"Miguel de las Cuevas","3,60 mill. €","Real Sporting"
"Mate Bilic","3,00 mill. €","Real Sporting"
"Luis Morán","3,00 mill. €","Real Sporting"
"David Barral","3,00 mill. €","Real Sporting"
"Borja Navarro","-","Real Sporting"
"Renan Brito","3,00 mill. €","Xerez CD"
"Chema","1,00 mill. €","Xerez CD"
"Toni Lechuga","100 mil €","Xerez CD"
"Leandro Gioda","2,40 mill. €","Xerez CD"
"David Prieto","1,60 mill. €","Xerez CD"
"Aythami Artiles","1,60 mill. €","Xerez CD"
"Borja Perea","-","Xerez CD"
"Joaquín del Moral","-","Xerez CD"
"José Manuel Casado","800 mil €","Xerez CD"
"Jesús Mendoza","600 mil €","Xerez CD"
"Francis Pérez","1,40 mill. €","Xerez CD"
"Juan Luis Redondo","300 mil €","Xerez CD"
"Sidi Keita","1,60 mill. €","Xerez CD"
"Álex Bergantiños","1,00 mill. €","Xerez CD"
"Vicente Moreno","400 mil €","Xerez CD"
"Víctor Sánchez","800 mil €","Xerez CD"
"Abel Gómez","800 mil €","Xerez CD"
"Emilio Viqueira","600 mil €","Xerez CD"
"Momo","3,00 mill. €","Xerez CD"
"Emiliano Armenteros","1,40 mill. €","Xerez CD"
"Carlos Calvo","1,60 mill. €","Xerez CD"
"Fabián Orellana","1,20 mill. €","Xerez CD"
"Mario Bermejo","2,00 mill. €","Xerez CD"
"Giancarlo Maldonado","2,00 mill. €","Xerez CD"
"Antoñito","1,60 mill. €","Xerez CD"
"Nicolás Vigneri","800 mil €","Xerez CD"
"Matías Alustiza","600 mil €","Xerez CD"
"Míchel Carrilero","300 mil €","Xerez CD"
"Roberto","2,00 mill. €","Real Zaragoza"
"Juan Pablo Carrizo","2,00 mill. €","Real Zaragoza"
"Javier López Vallejo","1,25 mill. €","Real Zaragoza"
"Pablo Alcolea","-","Real Zaragoza"
"Javier Borque","-","Real Zaragoza"
"Matteo Contini","2,40 mill. €","Real Zaragoza"
"Jiri Jarosik","2,00 mill. €","Real Zaragoza"
"Rubén Pulido","2,00 mill. €","Real Zaragoza"
"Francisco Pavón","1,80 mill. €","Real Zaragoza"
